Theta, Alpha, Low_beta, High_beta, Gamma
32513,13470.4,24649.6,12119.4,13938.5,
17866.9,25727.6,18817.6,22774.8,21460.3,
32513,13470.4,24649.6,12119.4,13938.5,
17866.9,25727.6,18817.6,22774.8,21460.3,
32513,13470.4,24649.6,12119.4,13938.5,
17866.9,25727.6,18817.6,22774.8,21460.3,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
21995,8369.67,14262.9,8275.77,9478.33,
12636.5,18619.7,15792.8,15902.4,15857.6,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
12644.8,4823.89,6842.07,4976.2,5819.11,
8169.8,11847,11729.4,9846.23,10486.2,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
6242.24,2412.63,2715.93,2593.81,3139.13,
4557.67,6498.2,7487.76,5466.36,6014.68,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
2463,1142.52,954.38,1160.88,1411.11,
2221.42,3060.37,3989.75,2673.98,2920.89,
